aid,cid,act_days,act_paid_installments,act_utl,act_dueutl,act_due,act_age,act_cc,act_dueinc,act_loaninc,app_income,app_loan_amount,app_n_installments,act_seniority,app_nom_branch,app_nom_gender,app_nom_job_code,app_number_of_children,app_nom_marital_status,app_nom_city,app_nom_home_status,app_nom_cars,app_spendings,fin_period,status,coll_status,period,act_cus_seniority,act_cus_n_loans_hist,act_cus_n_statC,act_cus_n_statB,act_cus_n_loans_act,act_cus_utl,act_cus_dueutl,act_cus_cc
ins202406110001,0000000042,15,3,0.25,0.0,0,53,0.3134155184916606,0.0,0.22799129804205948,6895,1572,12,-3,4,1,2,2,4,2,2,2,2030,202406,1,1,202409,-3,4,0,0,4,10.916666666666666,0.0,0.3704133430021755
ins202407070001,0000000068,14,2,0.08333333333333333,0.0,0,49,0.6498344370860927,0.0,3.347682119205298,2416,8088,24,-2,3,1,3,2,4,2,3,2,1233,202407,1,1,202409,-2,3,0,0,3,14.041666666666666,0.0,0.9288079470198676
ins202408240001,0000000116,15,1,0.08333333333333333,0.0,0,53,0.42431761786600497,0.0,1.7866004962779156,806,1440,12,-1,2,1,4,1,4,4,3,1,222,202408,1,1,202409,-1,2,0,0,2,10.0,0.0,0.5732009925558312
ins202406240001,0000000055,7,3,0.25,0.0,0,57,0.5209222886421861,0.0,1.506404782237404,1171,1764,12,-3,1,1,4,0,4,4,3,2,463,202406,1,1,202409,-3,4,0,0,4,12.25,0.0,0.8975234842015372
ins202408070001,0000000099,15,1,0.041666666666666664,0.0,0,68,0.7462365591397849,0.0,7.741935483870968,465,3600,24,-1,4,1,4,0,3,4,3,2,197,202408,1,1,202409,-1,2,0,0,2,6.25,0.0,1.0688172043010753
ins202405120001,0000000012,15,4,0.3333333333333333,0.0,0,51,0.26681841173495197,0.0,0.7890743550834598,3954,3120,12,-4,2,0,3,1,4,2,2,1,795,202405,1,1,202409,-4,5,0,0,5,21.666666666666668,0.0,0.5298431967627719
ins202406120001,0000000043,14,3,0.25,0.0,0,56,0.5531639004149378,0.0,1.3568464730290457,3856,5232,12,-3,4,1,2,2,4,2,3,2,1697,202406,1,1,202409,-3,4,0,0,4,36.333333333333336,0.0,0.8923755186721992
ins202406300001,0000000061,15,3,0.25,0.0,0,61,0.6067551266586249,0.0,1.1001206272617612,1658,1824,12,-3,3,0,4,2,3,4,3,2,854,202406,1,1,202409,-3,4,0,0,4,12.666666666666666,0.0,0.8817852834740652
ins202408220001,0000000114,10,1,0.08333333333333333,0.0,0,60,0.41775719750352325,0.0,0.29957720958324946,4967,1488,12,-1,3,0,2,0,4,1,3,2,1951,202408,1,1,202409,-1,2,0,0,2,10.333333333333334,0.0,0.44272196496879407
ins202408210001,0000000113,13,1,0.08333333333333333,0.0,0,64,0.8508604206500956,0.0,4.8413001912045885,523,2532,12,-1,2,1,4,0,2,3,3,2,234,202408,1,1,202409,-1,2,0,0,2,17.583333333333332,0.0,1.254302103250478
