aid,cid,act_days,act_paid_installments,act_utl,act_dueutl,act_due,act_age,act_cc,act_dueinc,act_loaninc,app_income,app_loan_amount,app_n_installments,act_seniority,app_nom_branch,app_nom_gender,app_nom_job_code,app_number_of_children,app_nom_marital_status,app_nom_city,app_nom_home_status,app_nom_cars,app_spendings,fin_period,status,coll_status,period,act_cus_seniority,act_cus_n_loans_hist,act_cus_n_statC,act_cus_n_statB,act_cus_n_loans_act,act_cus_utl,act_cus_dueutl,act_cus_cc
ins202406110001,0000000042,9,2,0.16666666666666666,0.0,0,53,0.3134155184916606,0.0,0.22799129804205948,6895,1572,12,-2,4,1,2,2,4,2,2,2,2030,202406,1,1,202408,-2,3,0,0,3,10.916666666666666,0.0,0.3514140681653372
ins202407260001,0000000087,14,1,0.08333333333333333,0.0,0,47,0.39599056603773586,0.0,0.4811320754716981,4240,2040,12,-1,4,1,3,2,2,2,3,1,1509,202407,1,1,202408,-1,2,0,0,2,14.166666666666666,0.0,0.43608490566037733
ins202406120001,0000000043,14,2,0.16666666666666666,0.0,0,56,0.5531639004149378,0.0,1.3568464730290457,3856,5232,12,-2,4,1,2,2,4,2,3,2,1697,202406,1,1,202408,-2,3,0,0,3,36.333333333333336,0.0,0.779304979253112
ins202406300001,0000000061,14,2,0.16666666666666666,0.0,0,61,0.6067551266586249,0.0,1.1001206272617612,1658,1824,12,-2,3,0,4,2,3,4,3,2,854,202406,1,1,202408,-2,3,0,0,3,12.666666666666666,0.0,0.7901085645355851
ins202405110001,0000000011,15,3,0.25,0.0,0,61,0.7028862478777589,0.0,4.726655348047538,589,2784,12,-3,4,0,4,1,2,3,3,1,182,202405,1,1,202408,-3,4,0,0,4,19.333333333333332,0.0,1.8845500848896435
ins202406020001,0000000033,11,2,0.16666666666666666,0.0,0,53,0.3053367028393043,0.0,0.21227887617065558,6727,1428,12,-2,3,1,2,0,4,2,3,1,1935,202406,1,1,202408,-2,3,0,0,3,9.916666666666666,0.0,0.34071651553441357
ins202405240001,0000000024,14,3,0.25,0.0,0,68,0.7836676217765043,0.0,2.819484240687679,698,1968,12,-3,3,0,4,0,2,1,3,2,383,202405,1,1,202408,-3,4,0,0,4,13.666666666666666,0.0,1.488538681948424
ins202407070001,0000000068,11,1,0.041666666666666664,0.0,0,49,0.6498344370860927,0.0,3.347682119205298,2416,8088,24,-1,3,1,3,2,4,2,3,2,1233,202407,1,1,202408,-1,2,0,0,2,14.041666666666666,0.0,0.7893211920529801
ins202405230001,0000000023,13,3,0.25,0.0,0,51,0.3873377900117971,0.0,1.6374360990955563,2543,4164,12,-3,2,1,3,1,4,4,2,2,638,202405,1,1,202408,-3,4,0,0,4,28.916666666666668,0.0,0.7966968147856862
ins202406030001,0000000034,14,2,0.16666666666666666,0.0,0,64,0.7562189054726368,0.0,2.8895522388059702,1005,2904,12,-2,3,0,4,0,3,2,3,2,518,202406,1,1,202408,-2,3,0,0,3,20.166666666666668,0.0,1.237810945273632
ins202406200001,0000000051,14,2,0.08333333333333333,0.0,0,71,0.677819083023544,0.0,4.014869888475836,807,3240,24,-2,3,1,4,0,4,2,3,2,412,202406,1,1,202408,-2,3,0,0,3,5.625,0.0,1.0123915737298637
ins202406050001,0000000036,15,2,0.16666666666666666,0.0,0,65,0.4909090909090909,0.0,2.4,1210,2904,12,-2,1,1,4,0,2,3,3,1,352,202406,1,1,202408,-2,3,0,0,3,20.166666666666668,0.0,0.8909090909090909
ins202406240001,0000000055,13,2,0.16666666666666666,0.0,0,57,0.5209222886421861,0.0,1.506404782237404,1171,1764,12,-2,1,1,4,0,4,4,3,2,463,202406,1,1,202408,-2,3,0,0,3,12.25,0.0,0.7719897523484202
ins202407020001,0000000063,11,1,0.041666666666666664,0.0,0,58,0.6155133928571429,0.0,4.258928571428571,1792,7632,24,-1,2,1,3,0,4,4,3,2,785,202407,1,1,202408,-1,2,0,0,2,13.25,0.0,0.79296875
ins202407240001,0000000085,15,1,0.08333333333333333,0.0,0,66,0.5498708010335918,0.0,0.9178294573643411,1935,1776,12,-1,2,0,4,0,3,3,3,2,916,202407,1,1,202408,-1,2,0,0,2,12.333333333333334,0.0,0.6263565891472869
ins202406280001,0000000059,15,2,0.16666666666666666,0.0,0,53,0.6703383162863886,0.0,0.7553107789142408,5084,3840,12,-2,4,1,2,2,4,1,3,2,3088,202406,1,1,202408,-2,3,0,0,3,26.666666666666668,0.0,0.7962234461054288
ins202405200001,0000000020,8,3,0.25,0.0,0,52,0.33794524580512214,0.0,0.4450986164262585,3397,1512,12,-3,1,0,3,2,4,3,3,1,1022,202405,1,1,202408,-3,4,0,0,4,10.5,0.0,0.44921989991168676
ins202407280001,0000000089,13,1,0.08333333333333333,0.0,0,67,0.7379518072289156,0.0,3.8313253012048194,332,1272,12,-1,3,1,4,0,4,3,3,2,139,202407,1,1,202408,-1,2,0,0,2,8.833333333333334,0.0,1.0572289156626506
ins202407160001,0000000077,12,1,0.08333333333333333,0.0,0,52,0.6067415730337079,0.0,1.3675762439807384,1869,2556,12,-1,3,0,3,1,4,3,3,2,921,202407,1,1,202408,-1,2,0,0,2,17.75,0.0,0.7207062600321027
