aid,cid,act_days,act_paid_installments,act_utl,act_dueutl,act_due,act_age,act_cc,act_dueinc,act_loaninc,app_income,app_loan_amount,app_n_installments,act_seniority,app_nom_branch,app_nom_gender,app_nom_job_code,app_number_of_children,app_nom_marital_status,app_nom_city,app_nom_home_status,app_nom_cars,app_spendings,fin_period,status,coll_status,period,act_cus_seniority,act_cus_n_loans_hist,act_cus_n_statC,act_cus_n_statB,act_cus_n_loans_act,act_cus_utl,act_cus_dueutl,act_cus_cc
ins202410020001,0000000309,10,6,0.5,0.0,0,65,0.4761111111111111,0.0,0.8133333333333334,1800,1464,12,-6,3,1,4,0,2,3,3,2,735,202410,1,1,202504,-6,7,0,0,7,10.166666666666666,0.0,0.8827777777777778
ins202410240002,0000000354,10,6,0.16666666666666666,0.0,0,70,0.5853658536585366,0.0,7.52067868504772,943,7092,36,-6,3,1,4,2,4,4,3,2,355,202410,1,1,202504,-6,7,0,0,7,5.472222222222222,0.0,1.8388123011664899
ins202501170001,0000000523,14,3,0.25,0.0,0,56,0.4742936544696619,0.0,0.8114867994441871,2159,1752,12,-2,2,0,4,0,4,3,3,2,878,202501,1,1,202504,-2,4,0,0,4,12.166666666666666,0.0,0.6771653543307087
ins202405070002,0000000014,10,11,0.9166666666666666,0.0,0,65,0.5688195991091314,0.0,1.689086859688196,2245,3792,12,-11,2,1,4,0,4,3,3,1,961,202405,1,1,202504,-11,12,0,0,12,26.333333333333332,0.0,2.117149220489978
ins202502240002,0000000600,14,2,0.16666666666666666,0.0,0,67,0.5764331210191083,0.0,1.3375796178343948,942,1260,12,-1,4,0,4,1,3,3,3,2,438,202502,1,1,202504,-1,3,0,0,3,8.75,0.0,0.7993630573248408
ins202412290001,0000000485,14,4,0.3333333333333333,0.0,0,60,1.3377483443708609,0.0,10.19205298013245,604,6156,12,-4,3,1,4,0,4,4,3,2,295,202412,1,1,202504,-4,5,0,0,5,42.75,0.0,4.735099337748345
ins202501290002,0000000548,15,3,0.08333333333333333,0.0,0,55,0.46303901437371664,0.0,0.8316221765913757,3896,3240,36,-2,2,1,3,2,4,3,3,2,1714,202501,1,1,202504,-2,4,0,0,4,2.5,0.0,0.5323408624229979
ins202501290001,0000000547,10,3,0.25,0.0,0,58,0.7320034692107545,0.0,3.569817866435386,1153,4116,12,-2,2,0,4,1,2,1,3,2,501,202501,1,1,202504,-2,4,0,0,4,28.583333333333332,0.0,1.624457935819601
ins202411130002,0000000394,13,5,0.20833333333333334,0.0,0,60,0.6909307875894988,0.0,4.5107398568019095,1676,7560,24,-5,1,1,4,0,4,2,3,2,843,202411,1,1,202504,-5,6,0,0,6,13.125,0.0,1.6306682577565632
ins202410120002,0000000330,10,6,0.5,0.0,0,55,0.9640625,0.0,6.99375,640,4476,12,-6,4,1,4,0,4,2,3,1,244,202410,1,1,202504,-6,7,0,0,7,31.083333333333332,0.0,4.4609375
