aid,cid,act_days,act_paid_installments,act_utl,act_dueutl,act_due,act_age,act_cc,act_dueinc,act_loaninc,app_income,app_loan_amount,app_n_installments,act_seniority,app_nom_branch,app_nom_gender,app_nom_job_code,app_number_of_children,app_nom_marital_status,app_nom_city,app_nom_home_status,app_nom_cars,app_spendings,fin_period,status,coll_status,period,act_cus_seniority,act_cus_n_loans_hist,act_cus_n_statC,act_cus_n_statB,act_cus_n_loans_act,act_cus_utl,act_cus_dueutl,act_cus_cc
ins202407050002,0000000132,15,1,0.08333333333333333,0.0,0,48,0.4455812312577174,0.0,0.4635738225436585,5669,2628,12,-1,3,1,2,3,4,3,3,2,2307,202407,1,1,202408,-1,2,0,0,2,18.25,0.0,0.4842123831363556
ins202406130001,0000000087,12,2,0.16666666666666666,0.0,0,60,0.6094808126410836,0.0,2.139954853273138,886,1896,12,-2,2,0,4,0,2,3,3,2,382,202406,1,1,202408,-2,3,0,0,3,13.166666666666666,0.0,0.9661399548532731
ins202406100001,0000000081,13,2,0.16666666666666666,0.0,0,66,0.555367709213863,0.0,0.9535080304311073,1183,1128,12,-2,2,1,4,0,2,2,3,2,563,202406,1,1,202408,-2,3,0,0,3,7.833333333333333,0.0,0.7142857142857143
ins202405040001,0000000007,14,3,0.125,0.0,0,64,0.572064552031163,0.0,4.393989983305509,1797,7896,24,-3,3,0,4,0,2,2,3,2,699,202405,1,1,202408,-3,4,0,0,4,13.708333333333334,0.0,1.1213132999443518
ins202407310001,0000000183,15,1,0.08333333333333333,0.0,0,57,1.1542168674698796,0.0,9.050602409638554,415,3756,12,-1,3,1,4,1,4,2,3,2,166,202407,1,1,202408,-1,2,0,0,2,26.083333333333332,0.0,1.908433734939759
ins202405310001,0000000061,12,3,0.25,0.0,0,63,0.7523510971786834,0.0,3.987460815047022,319,1272,12,-3,3,0,4,1,4,4,3,2,134,202405,1,1,202408,-3,4,0,0,4,8.833333333333334,0.0,1.749216300940439
ins202406040001,0000000069,14,2,0.16666666666666666,0.0,0,55,0.9395807644882861,0.0,5.489519112207152,811,4452,12,-2,4,0,4,3,4,1,3,2,391,202406,1,1,202408,-2,3,0,0,3,30.916666666666668,0.0,1.8545006165228113
ins202406170001,0000000095,13,2,0.16666666666666666,0.0,0,49,0.5176125244618396,0.0,0.40424937098126923,7154,2892,12,-2,2,1,2,1,4,2,3,2,3462,202406,1,1,202408,-2,3,0,0,3,20.083333333333332,0.0,0.5849874196253844
ins202407250001,0000000171,14,1,0.041666666666666664,0.0,0,69,0.6776859504132231,0.0,5.137190082644628,1210,6216,24,-1,4,1,4,0,4,2,3,2,561,202407,1,1,202408,-1,2,0,0,2,10.791666666666666,0.0,0.8917355371900827
ins202406210002,0000000104,13,2,0.08333333333333333,0.0,0,64,0.6286893049825453,0.0,3.4960330053951125,3151,11016,24,-2,4,0,2,2,3,2,3,2,1522,202406,1,1,202408,-2,3,0,0,3,19.125,0.0,0.9200253887654712
ins202407210002,0000000164,15,1,0.08333333333333333,0.0,0,65,0.9011164274322169,0.0,5.6650717703349285,627,3552,12,-1,3,1,4,0,4,2,3,2,269,202407,1,1,202408,-1,2,0,0,2,24.666666666666668,0.0,1.3732057416267942
ins202407160002,0000000154,13,1,0.08333333333333333,0.0,0,54,0.6159895150720839,0.0,2.72870249017038,1526,4164,12,-1,2,0,4,1,4,3,3,2,593,202407,1,1,202408,-1,2,0,0,2,28.916666666666668,0.0,0.8433813892529489
ins202407300002,0000000182,14,1,0.041666666666666664,0.0,0,59,0.6768115942028986,0.0,6.956521739130435,690,4800,24,-1,2,1,4,1,4,2,3,2,267,202407,1,1,202408,-1,2,0,0,2,8.333333333333334,0.0,0.9666666666666667
ins202405110002,0000000022,13,3,0.25,0.0,0,64,0.5440251572327044,0.0,2.5377358490566038,1272,3228,12,-3,2,0,4,0,3,3,2,2,423,202405,1,1,202408,-3,4,0,0,4,22.416666666666668,0.0,1.1784591194968554
ins202406140002,0000000090,12,2,0.16666666666666666,0.0,0,64,0.3857724851143842,0.0,0.770918207458477,3191,2460,12,-2,3,1,2,0,4,4,3,1,1026,202406,1,1,202408,-2,3,0,0,3,17.083333333333332,0.0,0.5142588530241303
ins202405150001,0000000029,11,3,0.25,0.0,0,52,0.4038128249566724,0.0,1.281629116117851,4616,5916,12,-3,1,1,2,1,4,2,2,2,1371,202405,1,1,202408,-3,4,0,0,4,41.083333333333336,0.0,0.7242201039861352
ins202407100001,0000000141,14,1,0.041666666666666664,0.0,0,59,0.6614890198178897,0.0,3.830744509908945,1867,7152,24,-1,2,1,3,0,4,2,3,2,937,202407,1,1,202408,-1,2,0,0,2,12.416666666666666,0.0,0.821103374397429
ins202407150001,0000000151,13,1,0.027777777777777776,0.0,0,67,0.5962807438512298,0.0,2.5266946610677863,1667,4212,36,-1,4,1,4,2,4,1,3,2,877,202407,1,1,202408,-1,2,0,0,2,3.25,0.0,0.6664667066586683
ins202405260001,0000000051,12,3,0.08333333333333333,0.0,0,55,0.5131940626717977,0.0,1.800989554700385,3638,6552,36,-3,3,0,3,0,4,4,3,2,1685,202405,1,1,202408,-3,4,0,0,4,5.055555555555555,0.0,0.6632765255634965
ins202406110002,0000000084,15,2,0.08333333333333333,0.0,0,64,0.4682405845980888,0.0,0.7082630691399663,3558,2520,24,-2,1,0,3,2,4,4,3,2,1561,202406,1,1,202408,-2,3,0,0,3,4.375,0.0,0.5272625070264193
ins202406090001,0000000079,11,2,0.16666666666666666,0.0,0,55,0.47318125770653513,0.0,0.6436498150431565,3244,2088,12,-2,4,1,2,1,2,3,3,2,1361,202406,1,1,202408,-2,3,0,0,3,14.5,0.0,0.5804562268803946
ins202407010001,0000000123,13,1,0.027777777777777776,0.0,0,71,0.6380552220888356,0.0,3.9543817527010803,1666,6588,36,-1,4,0,4,0,2,3,3,2,880,202407,1,1,202408,-1,2,0,0,2,5.083333333333333,0.0,0.7478991596638656
ins202407010002,0000000124,12,1,0.08333333333333333,0.0,0,69,0.6008492569002123,0.0,2.284501061571125,1413,3228,12,-1,3,0,4,0,2,3,3,2,580,202407,1,1,202408,-1,2,0,0,2,22.416666666666668,0.0,0.7912243453644727
ins202407170002,0000000156,11,1,0.041666666666666664,0.0,0,62,0.615819209039548,0.0,3.8159806295399514,1239,4728,24,-1,4,0,4,0,3,3,3,2,566,202407,1,1,202408,-1,2,0,0,2,8.208333333333334,0.0,0.774818401937046
ins202405160001,0000000031,11,3,0.125,0.0,0,64,0.5398361876396128,0.0,1.8049143708116158,1343,2424,24,-3,1,1,4,0,4,2,3,1,624,202405,1,1,202408,-3,4,0,0,4,4.208333333333333,0.0,0.7654504839910647
ins202407170001,0000000155,12,1,0.08333333333333333,0.0,0,62,0.8513011152416357,0.0,4.951672862453532,538,2664,12,-1,2,0,4,0,4,2,3,2,236,202407,1,1,202408,-1,2,0,0,2,18.5,0.0,1.2639405204460967
ins202407020002,0000000126,14,1,0.08333333333333333,0.0,0,60,0.5217149220489977,0.0,1.4766146993318485,1796,2652,12,-1,3,0,3,2,2,3,3,2,716,202407,1,1,202408,-1,2,0,0,2,18.416666666666668,0.0,0.6447661469933185
ins202407060001,0000000133,14,1,0.08333333333333333,0.0,0,60,0.7361563517915309,0.0,3.6351791530944624,921,3348,12,-1,3,0,4,0,4,3,3,2,399,202407,1,1,202408,-1,2,0,0,2,23.25,0.0,1.0390879478827362
ins202407240001,0000000169,15,1,0.041666666666666664,0.0,0,56,0.3985082578582845,0.0,2.915290356952584,1877,5472,24,-1,3,1,3,1,4,3,3,1,520,202407,1,1,202408,-1,2,0,0,2,9.5,0.0,0.5199786893979755
ins202405060002,0000000012,15,3,0.25,0.0,0,51,0.26681841173495197,0.0,0.7890743550834598,3954,3120,12,-3,2,0,3,1,4,2,2,1,795,202405,1,1,202408,-3,4,0,0,4,21.666666666666668,0.0,0.4640870005058169
ins202407070001,0000000135,13,1,0.041666666666666664,0.0,0,56,0.5386804657179819,0.0,2.390685640362225,3865,9240,24,-1,3,1,2,1,4,2,3,2,1697,202407,1,1,202408,-1,2,0,0,2,16.041666666666668,0.0,0.6382923673997413
ins202405310002,0000000062,14,3,0.125,0.0,0,64,0.7429111531190926,0.0,6.646502835538753,1058,7032,24,-3,2,0,4,0,4,3,3,2,493,202405,1,1,202408,-3,4,0,0,4,12.208333333333334,0.0,1.5737240075614367
ins202406030002,0000000068,14,2,0.05555555555555555,0.0,0,65,0.757085020242915,0.0,6.704453441295547,741,4968,36,-2,1,0,4,0,3,2,3,2,423,202406,1,1,202408,-2,3,0,0,3,3.8333333333333335,0.0,1.1295546558704452
ins202405210001,0000000041,15,3,0.25,0.0,0,67,0.5973534971644613,0.0,2.4272211720226844,529,1284,12,-3,4,0,4,0,2,1,3,2,209,202405,1,1,202408,-3,4,0,0,4,8.916666666666666,0.0,1.2041587901701323
ins202407310002,0000000184,15,1,0.08333333333333333,0.0,0,53,0.5196304849884527,0.0,0.6789838337182448,1732,1176,12,-1,3,1,3,1,4,4,3,2,802,202407,1,1,202408,-1,2,0,0,2,8.166666666666666,0.0,0.5762124711316398
ins202406080002,0000000078,11,2,0.16666666666666666,0.0,0,65,0.5420435510887772,0.0,0.9969849246231156,2985,2976,12,-2,2,1,4,0,3,1,3,2,1370,202406,1,1,202408,-2,3,0,0,3,20.666666666666668,0.0,0.7082077051926298
ins202407220002,0000000166,13,1,0.027777777777777776,0.0,0,57,0.581081081081081,0.0,4.378378378378378,1332,5832,36,-1,3,1,4,0,4,1,3,2,612,202407,1,1,202408,-1,2,0,0,2,4.5,0.0,0.7027027027027027
ins202407140001,0000000149,13,1,0.08333333333333333,0.0,0,53,0.4917293233082707,0.0,0.6109559613319012,4655,2844,12,-1,1,1,2,0,4,2,3,2,2052,202407,1,1,202408,-1,2,0,0,2,19.75,0.0,0.542642320085929
ins202407130002,0000000148,13,1,0.08333333333333333,0.0,0,49,0.5522290920924179,0.0,0.43735763097949887,3073,1344,12,-1,2,1,2,1,4,3,3,2,1585,202407,1,1,202408,-1,2,0,0,2,9.333333333333334,0.0,0.5886755613407094
ins202406080001,0000000077,15,2,0.16666666666666666,0.0,0,63,0.37354378053363396,0.0,0.6629086809470124,2661,1764,12,-2,2,1,3,3,4,4,2,2,847,202406,1,1,202408,-2,3,0,0,3,12.25,0.0,0.4840285606914694
ins202405110001,0000000021,13,3,0.25,0.0,0,66,0.6452205882352942,0.0,1.4283088235294117,2176,3108,12,-3,3,1,4,0,3,4,3,2,1145,202405,1,1,202408,-3,4,0,0,4,21.583333333333332,0.0,1.002297794117647
ins202405050001,0000000009,15,3,0.25,0.0,0,58,0.6707589285714286,0.0,2.4107142857142856,896,2160,12,-3,2,0,4,0,2,1,3,2,421,202405,1,1,202408,-3,4,0,0,4,15.0,0.0,1.2734375
ins202406280002,0000000118,15,2,0.16666666666666666,0.0,0,57,0.526196758386732,0.0,1.040331699962307,2653,2760,12,-2,4,0,4,0,4,3,3,2,1166,202406,1,1,202408,-2,3,0,0,3,19.166666666666668,0.0,0.6995853750471165
ins202407210001,0000000163,15,1,0.08333333333333333,0.0,0,52,0.44018887722980066,0.0,1.7061909758656872,1906,3252,12,-1,2,1,3,0,4,3,2,2,568,202407,1,1,202408,-1,2,0,0,2,22.583333333333332,0.0,0.5823714585519413
ins202406170002,0000000096,12,2,0.16666666666666666,0.0,0,54,0.47889701744513224,0.0,0.8846370287000562,1777,1572,12,-2,3,1,1,1,4,3,3,2,720,202406,1,1,202408,-2,3,0,0,3,10.916666666666666,0.0,0.6263365222284749
ins202406010002,0000000064,13,2,0.08333333333333333,0.0,0,55,0.282591725214676,0.0,2.604215456674473,1281,3336,24,-2,3,1,4,0,4,3,2,1,223,202406,1,1,202408,-2,3,0,0,3,5.791666666666667,0.0,0.4996096799375488
ins202406250001,0000000111,14,2,0.08333333333333333,0.0,0,55,0.5567991046446559,0.0,2.8875209848908785,1787,5160,24,-2,2,0,1,0,4,1,3,2,780,202406,1,1,202408,-2,3,0,0,3,8.958333333333334,0.0,0.7974258533855624
ins202407080002,0000000138,14,1,0.027777777777777776,0.0,0,72,0.7244819646968534,0.0,11.742133537989256,1303,15300,36,-1,3,1,4,0,3,4,3,2,519,202407,1,1,202408,-1,2,0,0,2,11.805555555555555,0.0,1.0506523407521104
ins202406140001,0000000089,14,2,0.16666666666666666,0.0,0,69,0.6316981132075472,0.0,2.2732075471698114,1325,3012,12,-2,3,1,4,2,2,1,3,2,586,202406,1,1,202408,-2,3,0,0,3,20.916666666666668,0.0,1.010566037735849
ins202407230001,0000000167,13,1,0.041666666666666664,0.0,0,61,0.9045138888888888,0.0,11.583333333333334,576,6672,24,-1,2,0,4,2,4,2,3,1,243,202407,1,1,202408,-1,2,0,0,2,11.583333333333334,0.0,1.3871527777777777
ins202406070002,0000000076,15,2,0.16666666666666666,0.0,0,67,0.8022670025188917,0.0,4.156171284634761,794,3300,12,-2,4,1,4,0,2,2,3,2,362,202406,1,1,202408,-2,3,0,0,3,22.916666666666668,0.0,1.4949622166246852
ins202405140002,0000000028,12,3,0.25,0.0,0,53,0.7009803921568627,0.0,3.0294117647058822,408,1236,12,-3,2,1,4,0,4,2,3,1,183,202405,1,1,202408,-3,4,0,0,4,8.583333333333334,0.0,1.4583333333333333
